Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,100.77,-69.36,270,bottom
C2,4.7uF,C_0805_2012Metric,109.66,-69.36,90,bottom
C3,0.1uF,C_0805_2012Metric,107.37,-62.6525,90,bottom
C4,0.1uF,C_0805_2012Metric,121.17,-61.4,0,bottom
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,97.92,-62.9,90,bottom
J5,SWD Header,PinHeader_2x05_P1.27mm_Vertical_SMD,107.57,-78.9,90,bottom
R1,10K,R_0805_2012Metric,118.03,-79.1625,90,bottom
R2,10K,R_0805_2012Metric,124.392,-58.438,0,bottom
R3,10K,R_0805_2012Metric,115.49,-79.1625,90,bottom
U1,AP2127K-3.3,SOT-23-5,105.215,-69.36,180,bottom
U2,STM32F042F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,113.47,-61.74,270,bottom
U3,74LVC1G17,SOT-353_SC-70-5,152.17,-54.9,180,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,159.92,-62.15,180,top
